Section,Key,Value
Summary,sport,Football (Soccer)
Summary,total_frames,60
Summary,overall_score,0.0
Summary,errors,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار

Frame,overall_score,movement,errors
0,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
1,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
2,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
3,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
4,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
5,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
6,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
7,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
8,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
9,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
10,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
11,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
12,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
13,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
14,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
15,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
16,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
17,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
18,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
19,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
20,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
21,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
22,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
23,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
24,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
25,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
26,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
27,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
28,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
29,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
30,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
31,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
32,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
33,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
34,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
35,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
36,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
37,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
38,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
39,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
40,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
41,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
42,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
43,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
44,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
45,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
46,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
47,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
48,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
49,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
50,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
51,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
52,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
53,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
54,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
55,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
56,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
57,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
58,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
59,0.0,general,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
