=== AI Sports Movement Analysis Report ===
Generated,2026-03-14 09:06
Sport,Golf
Total Frames,15
Overall Score (0-10),0.0
Video FPS,10.0
Processing Time (sec),14.5

--- Movements Summary ---
Movement,Score (0-10),Frames,Feedback
General,0.0,15,Needs improvement

--- Points of Strength ---
Stable posture

--- Detected Errors ---
Expected ball not detected - ensure full frame includes equipment for better analysis and tips.
No body detected - ensure full body is visible in frame

--- Injury Risk ---
Injury Risk Score (0-100),0

--- Coaching Feedback ---
Error,Feedback
Expected ball not detected - ensure full frame includes equipment for better analysis and tips.,Expected ball not detected - ensure full frame includes equipment for better analysis and tips.
No body detected - ensure full body is visible in frame,Turn shoulders 90°; coil and release.

--- Frame-by-Frame Analysis ---
Frame,overall_score,movement,errors
0,0.0,general,No body detected - ensure full body is visible in frame
1,0.0,general,No body detected - ensure full body is visible in frame
2,0.0,general,No body detected - ensure full body is visible in frame
3,0.0,general,No body detected - ensure full body is visible in frame
4,0.0,general,No body detected - ensure full body is visible in frame
5,0.0,general,No body detected - ensure full body is visible in frame
6,0.0,general,No body detected - ensure full body is visible in frame
7,0.0,general,No body detected - ensure full body is visible in frame
8,0.0,general,No body detected - ensure full body is visible in frame
9,0.0,general,No body detected - ensure full body is visible in frame
10,0.0,general,No body detected - ensure full body is visible in frame
11,0.0,general,No body detected - ensure full body is visible in frame
12,0.0,general,No body detected - ensure full body is visible in frame
13,0.0,general,No body detected - ensure full body is visible in frame
14,0.0,general,No body detected - ensure full body is visible in frame

